id,type,title,description,interpretation,link,status,published_at,created_at,updated_at,display_date,centres,classes,children,medias,tags
288714,album,周活动 -- 十二月假期第五周,"30/12/2024 -- 03/01/2025

这里是孩子们玩投乒乓球挑战的游戏瞬间，请您欣赏！",,,published,2025-01-02 04:57:33,2025-01-02 04:57:10,2025-01-02 05:01:59,NULL,"{""id"": 20, ""code"": ""TMJ""}","[{""id"": 1371, ""label"": ""2025 N2 Donaldson""}]",NULL,[],[]
288716,album,First Day of School,"Welcome, little ones, to your very first day of school! Today is a big adventure, full of fun, new friends, and lots of play. You’ll explore, learn, and discover amazing things! 
We are so happy you are here, and we cannot wait to see all the smiles and giggles you will bring. Welcome back to school!

Date of Activity: 2nd January 2025",,,published,2025-01-02 05:13:26,2025-01-02 05:13:21,2025-01-02 05:13:25,NULL,"{""id"": 10, ""code"": ""DTE01""}","[{""id"": 1311, ""label"": ""2025 Playgroup Michael Rosen""}]",NULL,[],[]
288718,album,开学第一天—满满的笑容和期待！,新的学期，新的开始，孩子们用灿烂的笑容迎接校园生活的回归。在熟悉的教室和老师们的陪伴下，孩子们一起开启了充满欢乐和探索的新篇章！,,,published,2025-01-02 05:23:43,2025-01-02 05:23:26,2025-01-02 05:23:42,NULL,"{""id"": 10, ""code"": ""DTE01""}","[{""id"": 1314, ""label"": ""2025 Nursery 2 Eric Carle""}]",NULL,[],[]
288719,album,First Day of School in 2025!,"It's the first day of school in 2025!
The N2 Darwin children are now officially in K1 Darwin! 
To celebrate their first day of school, the teachers put up decorations around the school to welcome them, and they took photos outside the Blue House as a backdrop.
May all the children grow healthily and happily in this new year!",,,published,2025-01-02 05:30:09,2025-01-02 05:30:06,2025-01-02 05:30:08,NULL,"{""id"": 10, ""code"": ""DTE01""}","[{""id"": 1315, ""label"": ""2025 Kindergarten 1 Darwin""}]",NULL,[],[]
288725,album,《自然声音探索》,"老师带领幼儿一起去户外探索，一起倾听大自然的声音。引导幼儿在户外用耳朵去倾听，听鸟鸣、风声、雨声、树叶沙沙声。老师有意识的带幼儿去寻找声音的来源，幼儿们在探索过程中认识自然，体验探索的乐趣。
",,,draft,2025-01-02 06:00:03,2025-01-02 05:59:34,2025-01-03 04:59:09,NULL,"{""id"": 1, ""code"": ""DNI00""}","[{""id"": 1295, ""label"": ""2025 PG Rod Campbell""}]",NULL,[],[]
288726,post,Show and Tell for 2025,"Dear parents, kindly refer to the following details and topics for K1 Darwin's Show and Tell for 2025.
Do reach out to the class teachers for any clarifications.
Thank you!

Warmest regards,
K1 Darwin Teachers",,,published,2025-01-02 06:08:40,2025-01-02 06:08:39,2025-02-27 11:29:06,NULL,"{""id"": 10, ""code"": ""DTE01""}","[{""id"": 1315, ""label"": ""2025 Kindergarten 1 Darwin""}]",NULL,[],[]
288728,album,精彩活动——十二月假期第五周,"02/02/2025

  本周K1 Bailey的精彩活动以阅读绘本《冬冬，等一下》为主线，结合语言与创造领域开展。幼儿通过倾听故事和观察画面，理解了故事情节，并用语言分享感受，提升了表达能力。在创意绘画环节，幼儿选择自己喜欢的画面并进行创作，通过绘画表达对故事的理解与情感，激发了观察力和创造力。最后的分享交流进一步增强了沟通能力和自信心。活动兼具趣味性与教育性，帮助幼儿在语言与艺术表达中获得多方面发展。






",,,published,2025-01-02 07:22:34,2025-01-02 07:22:29,2025-01-02 07:22:33,NULL,"{""id"": 20, ""code"": ""TMJ""}","[{""id"": 1404, ""label"": ""2025 K1 Bailey""}]",NULL,[],[]
288730,post,Welcome to N2 Eric Carle,"Dear Parents,

A warm welcome to you and your child! Here are some details if you would like to contact the class teachers. Additionally, this information can be found in your child's new communication book.

We look forward to another year of partnership!

Regards,
N2 Eric Carle Teachers",,,published,2025-01-02 08:49:17,2025-01-02 08:49:15,2025-01-03 02:36:42,NULL,"{""id"": 10, ""code"": ""DTE01""}","[{""id"": 1314, ""label"": ""2025 Nursery 2 Eric Carle""}]",NULL,[],[]
288731,post,N2 Eric Carle Friends,Here are the children's groupings!,,,published,2025-01-02 08:59:33,2025-01-02 08:59:31,2025-01-02 08:59:48,NULL,"{""id"": 10, ""code"": ""DTE01""}","[{""id"": 1314, ""label"": ""2025 Nursery 2 Eric Carle""}]",NULL,[],[]
288732,post,2025 Outdoor Schedule,"Dear parents,

For easier reference, these are the venues that we will be heading to for our daily outdoor sessions and activities for Pasir Ris Park.

For Pasir Ris Park trips, remember to dress your child in long pants (boys)/ school tights (girls),  bring a water bottle with a strap attached to it and outdoor bag with extra diaper/underwear/clothes and raincoat. If necessary, do assist in pasting a mosquito patch on your child's clothes or apply mosquito repellent before coming to school.

Stay tuned to our updates on this portal as we look at the children's exploration!

Warmest Regards,
N2 Eric Carle Teachers",,,published,2025-01-02 09:04:12,2025-01-02 09:04:09,2025-01-17 07:56:58,NULL,"{""id"": 10, ""code"": ""DTE01""}","[{""id"": 1314, ""label"": ""2025 Nursery 2 Eric Carle""}]",NULL,[],[]
288734,post,2025 Show and Tell Schedule and Topics,"Dear parents,

The N2 children will be embarking on a show-and-tell activity.

As they embark on this new activity, we will be providing a Monthly Topic of interest to ease them into developing their confidence to speak in front of their friends. 

We would like to seek your kind cooperation to bring along an item based on the monthly topic of interest.
For example, in January, the Topic of interest is My Favourite Item.

For easier reference, we have arranged a fixed schedule for your child's show and tell each month (Every Monday, 10-11 and Friday, 4-4.30pm). 

There will be an alternation between English and Chinese sharings, depending on the groupings (sun and cloud group).

Do note that the items brought to school will also be brought home after the sharing. 

Please take a look at the attached poster for more details.
We look forward to hearing from them!

Warmest Regards, 
N2 Eric Carle Teachers",,,published,2025-01-02 09:40:19,2025-01-02 09:40:07,2025-01-04 13:12:59,NULL,"{""id"": 10, ""code"": ""DTE01""}","[{""id"": 1314, ""label"": ""2025 Nursery 2 Eric Carle""}]",NULL,[],[]
288737,album,Tearing crepe papers ,"To foster the children's fine motor development, the teacher invited the children to tear various coloured crepe papers into smaller pieces, which will be used for future artwork activities. The children were intrigued by how they could tear, crumpled, and explored with the crepe papers.

Tearing papers might seem like child's play, but it is a vital fine motor skill that lays a foundation for numerous activities throughout life. As the children master this seemingly simple task, they are beginning to develop their grip strength and hand-eye coordination. Well done, PGs!",,,draft,2025-01-03 10:10:11,2025-01-02 10:13:29,2025-01-03 10:10:11,NULL,"{""id"": 1, ""code"": ""DNI00""}","[{""id"": 1295, ""label"": ""2025 PG Rod Campbell""}]",NULL,[],[]
288740,album,More than just a self portrait,"Today, the children were invited to create self-portraits for their black drawing books. This activity aims to help them identify their facial feature and foster a sense of identity.

Before diving into their drawings, we encouraged the children to observe their facial features, recognizing their shapes and functions. This brings awareness of the task.

As the drawing session progressed, many children approached me with questions like, “Is this okay? Is my face okay?” I redirected their inquiries, reassuring them that if this is how they perceive their face, then it is absolutely good enough.

Today’s learning experience is to remind our children that when it comes to creative expression, there are no right or wrong answers. Every interpretation is valid.",,,published,2025-01-02 10:21:39,2025-01-02 10:21:36,2025-01-02 12:45:43,NULL,"{""id"": 5, ""code"": ""DTH01""}","[{""id"": 1407, ""label"": ""2025 Nursery 2 Reflectors""}]",NULL,[],[]
288741,album,Pompom push!,"In developing the children's math concepts, the teacher introduced a matching activity where they were invited to push the pompom balls into the holes of the egg carton according to the colours (red/blue). 

Throughout the activity, some of the children enjoyed pushing the pompom balls in, while some simply loved to balance the balls on top. Moreover, the children were also very intrigued by where the ball went and also putting their finger in through the holes for sensory experience. As teachers, we encouraged the children to explore and engage in the play activity based on their preference. As this is a new activity for the children, they are beginning to learn about the foundational concept of matching as well as identifying colours. Great job, PGs!",,,draft,2025-01-03 10:11:17,2025-01-02 10:29:02,2025-01-03 10:11:17,NULL,"{""id"": 1, ""code"": ""DNI00""}","[{""id"": 1295, ""label"": ""2025 PG Rod Campbell""}]",NULL,[],[]
288744,album,First Day of School!,"Welcome to another exciting year with our K2 class! 🌟 After three wonderful years of growth, friendship, and learning together, we’re thrilled to continue this journey. Today marked the beginning of our final year, filled with even more fun, laughter, and unforgettable memories. Here's to an amazing year ahead!",,,published,2025-01-02 11:39:56,2025-01-02 11:39:44,2025-01-02 11:39:55,NULL,"{""id"": 10, ""code"": ""DTE01""}","[{""id"": 1316, ""label"": ""2025 Kindergarten 2 Elgar""}]",NULL,[],[]
288745,post,Welcome to N1 Tarō Gomi! ,"Dear Parents,

Welcome to the first official day of N1 Tarō Gomi! 

Feel free to reach out to us anytime—we’re here to support you and your child throughout this exciting journey.

We look forward to an incredible year of learning, growth, and fun together!

Warmest regards,
Teacher Kat and Jiao Lao Shi.",,,published,2025-01-02 11:49:35,2025-01-02 11:49:34,2025-01-02 11:50:03,NULL,"{""id"": 10, ""code"": ""DTE01""}","[{""id"": 1313, ""label"": ""2025 Nursery 1 Taro Gomi""}]",NULL,[],[]
288746,album,First Day of School: 2nd January 2025,"Today officially marked the start of a new school year! 

We took time to revisit routines and strengthen connections with peers and teachers. The day was filled with excitement as we set the tone for a year of exploration, learning, and growth. We’re looking forward to continuing this journey together and making wonderful memories along the way!",,,published,2025-01-02 11:57:11,2025-01-02 11:57:07,2025-01-02 11:57:11,NULL,"{""id"": 10, ""code"": ""DTE01""}","[{""id"": 1313, ""label"": ""2025 Nursery 1 Taro Gomi""}]",NULL,[],[]
288755,album,十二月第五周：五指探索,"活动目标：发展手眼协调能力，如：能用五指抓物品
老师将两种不同性质的球让幼儿抓握，幼儿对两种不同性质的球表现出探索兴趣。他们会用手握住软性的皮球和塑胶的皮球，感受球的大小和形状。当拿到软性的皮球时，还会用手捏一捏，感受其柔软的质地；而面对塑胶的皮球时，会仔细观察和翻动，可能注意到质地的不同。尽管他们还不会用语言表达，但通过五指探索，触摸、捏握和观察的动作，展现了幼儿对物品特性的探索和感知能力。",,,published,2025-01-02 14:05:13,2025-01-02 13:54:18,2025-01-02 14:05:13,NULL,"{""id"": 10, ""code"": ""DTE01""}","[{""id"": 1310, ""label"": ""2025 Infant Mozart""}]",NULL,[],[]
288756,album,First Day of School ,The children of N1 Lois Ehlert began their first day of 2025 with joy and excitement. The day was filled with opportunities for exploration and discovery as they engaged meaningfully with their peers and teachers.,,,published,2025-01-02 14:13:16,2025-01-02 14:13:08,2025-01-06 09:55:50,NULL,"{""id"": 10, ""code"": ""DTE01""}","[{""id"": 1312, ""label"": ""2025 Nursery 1 Lois Ehlert""}]",NULL,[],[]
288757,album,First Sports Ball Enrichment Class ,"During their first Sports Ball enrichment class, the children quickly warmed up to Coach Art, starting with a lively session of singing the Sports Ball songs together, followed by an energising warm-up exercise. They enthusiastically participated in various games led by Coach, including running around cones, kicking a ball, and chasing a “mouse” that rolled away from them. Throughout the session, the children were actively engaged in activities that supported the development of their gross motor skills. ",,,published,2025-01-02 14:18:59,2025-01-02 14:18:47,2025-01-02 14:18:58,NULL,"{""id"": 10, ""code"": ""DTE01""}","[{""id"": 1312, ""label"": ""2025 Nursery 1 Lois Ehlert""}]",NULL,[],[]
288762,post,N1 Lois Ehlert,My friends in N1 Lois Ehlert ,,,published,2025-01-02 14:36:55,2025-01-02 14:36:53,2025-02-16 15:17:10,NULL,"{""id"": 10, ""code"": ""DTE01""}","[{""id"": 1312, ""label"": ""2025 Nursery 1 Lois Ehlert""}]",NULL,[],[]
288765,post,Welcome to N1 Lois Ehlert ,"Dear Parents,

Welcome to N1 Lois Ehlert! We are thrilled to begin a brand new year of meaningful learning and growth with your child.

A hardcopy of the Welcome Note was placed in the Communication Booklet, which includes details on how you can contact us. Please feel free to reach out anytime. 

We look forward to fostering a close partnership with you as we work together to create enriching learning experiences and support your child’s development.

Warm regards,
N1 Lois Ehlert Teachers",,,published,2025-01-02 14:50:06,2025-01-02 14:50:05,2025-01-02 14:50:05,NULL,"{""id"": 10, ""code"": ""DTE01""}","[{""id"": 1312, ""label"": ""2025 Nursery 1 Lois Ehlert""}]",NULL,[],[]
288767,post,"Lois Ehlert Class Calendar (NFP, PRP, Birthday)","You may find details on NFP, PRP and Birthday Celebration schedule here. 
Please take note of the change of N1 Birthday Celebration. It will be on 1st and 3rd Wednesday of the month. Thank you ",,,published,2025-01-02 15:41:31,2025-01-02 15:41:29,2025-03-07 07:52:25,NULL,"{""id"": 10, ""code"": ""DTE01""}","[{""id"": 1312, ""label"": ""2025 Nursery 1 Lois Ehlert""}]",NULL,[],[]
288768,album,精彩活动 -- 十二月假期第五周,"30/12/2024 -- 03/01/2025

新的一年已经来临，华人新年也即将到来，本周我们展开了手工活动《会动的彩虹蛇》。孩子们自行用笔刷涂色到用彩虹般的圆点装饰，大家拿着自己会“动“的小蛇迎接新年。通过这次活动，大家不仅体验了手工制作的乐趣，同时也锻炼了动手能力和合作能力。
",,,published,2025-01-02 15:53:50,2025-01-02 15:53:34,2025-01-02 15:56:40,NULL,"{""id"": 20, ""code"": ""TMJ""}","[{""id"": 1371, ""label"": ""2025 N2 Donaldson""}]",NULL,[],[]
288770,post,"""Yummy Food!""","It has been weeks that I tried thinly sliced fruits/food in school and now I am able to eat chunky food with small bites at a time. When my teacher reminded me to take small bites, keep on chewing my food, I smiled at her! 😆",,,published,2025-01-02 23:16:20,2025-01-02 23:16:16,2025-01-02 23:16:19,NULL,"{""id"": 1, ""code"": ""DNI00""}","[{""id"": 1302, ""label"": ""2025 Infant Karen Katz""}]",NULL,[],[]
288771,album,Weekly Highlight: N2 Transition Week 5 ,"This week, the children engaged in a lively discussion about how the New Year is celebrated, sharing their excitement and various traditions associated with the occasion.",,,published,2025-01-03 05:06:33,2025-01-02 23:23:00,2025-01-03 05:06:32,NULL,"{""id"": 20, ""code"": ""TMJ""}","[{""id"": 1371, ""label"": ""2025 N2 Donaldson""}]",NULL,[],[]
288772,post,"""Yummy fruits""","With my teacher’s encouragement, I was able to take small bites and chew on my big cut fruits. I took small bites with my front teeth and my teacher said I look like a bunny nibbling! 😆",,,published,2025-01-02 23:25:49,2025-01-02 23:25:47,2025-01-02 23:26:14,NULL,"{""id"": 1, ""code"": ""DNI00""}","[{""id"": 1302, ""label"": ""2025 Infant Karen Katz""}]",NULL,[],[]
288773,post,"""Yummy Lunch!""","It was my first time taking Childcare lunch and fruits and I was able to take it very well. I carefully scooped my food and chewed on the food. I was able to finish my portion and eat the juicy watermelon. 😁
Yay! I am a big boy now and I can’t wait to try more savoury food!
",,,published,2025-01-02 23:32:30,2025-01-02 23:32:25,2025-01-03 00:23:28,NULL,"{""id"": 1, ""code"": ""DNI00""}","[{""id"": 1302, ""label"": ""2025 Infant Karen Katz""}]",NULL,[],[]
288774,album,Transition Week 5 Photos: Cone relay game,-,,,published,2025-01-03 05:06:47,2025-01-03 00:06:05,2025-01-03 05:06:47,NULL,"{""id"": 20, ""code"": ""TMJ""}","[{""id"": 1403, ""label"": ""2025 N2 Florence""}]",NULL,[],[]
288775,post,"""Dancing in the Dark""","We danced in the dark with our friends with some special light effects. We saw little dots on the floor and tried to catch them by stomping and clapping on it! The classroom filled with laughter as we ran around together.🤪
",,,published,2025-01-03 00:23:09,2025-01-03 00:22:58,2025-01-03 00:23:09,NULL,"{""id"": 1, ""code"": ""DNI00""}","[{""id"": 1302, ""label"": ""2025 Infant Karen Katz""}]",NULL,[],[]
288776,post,十二月 第四周：这是什么？,"活动目标：
为婴幼儿提供探索、互动和游戏等机会，初步培养其参与感

活动过程：
老师准备了彩色里头装有不同物品鸡蛋盒子，摇一摇、听一听制作不同的声音吸引幼儿的注意，通过活动过程激发小朋友的探索及好奇心，鼓励小朋友动动小手一起探索有趣的彩色鸡蛋。",,,published,2025-01-03 01:11:13,2025-01-03 00:54:09,2025-01-16 07:38:07,NULL,"{""id"": 10, ""code"": ""DTE01""}","[{""id"": 1310, ""label"": ""2025 Infant Mozart""}]",NULL,[],[]
288779,album,十二月 第五周 ： 豆芽发芽了,"活动目标
1.让幼儿参与种植和观察，培养他们的观察能力和耐心。

活动过程
总结豆芽的发芽过程及条件，鼓励幼儿继续观察其他小朋友的豆芽生长情况。让幼儿分享自己的观察或发现，比如：“豆芽长出来的颜色是什么？”“它变得比昨天长了吗？” 通过提问，老师和幼儿们一起总结发芽需要的条件（如：水分、空气、适宜的温度）。
",,,published,2025-01-03 02:36:27,2025-01-03 02:28:54,2025-01-03 02:36:26,NULL,"{""id"": 10, ""code"": ""DTE01""}","[{""id"": 1314, ""label"": ""2025 Nursery 2 Eric Carle""}]",NULL,[],[]
288785,album,December Week 5: Our Pet 'Rory' the terrapin,"Learning Objective: Foster curiosity and exploration.

Aurora ""Rory,"" the terrapin, was introduced to the children as our class pet. The children were excited to meet her, and we took the opportunity to teach them how to properly care for Rory. This included explaining how to feed her, change her water, and take her for walks during outdoor playtime.

The children were thrilled to learn about Rory’s needs and enjoyed watching her during feeding time. Observing Rory as she interacted with her food sparked curiosity and wonder. They noticed how she slowly and carefully approached her meals.

The following day, the children were filled with excitement as they watched Rory walking and running around. It was a delightful sight to see her moving energetically, and the children couldn't contain their enthusiasm. They gathered around her, eagerly observing her swift movements and noticing how she explored her environment with curiosity.

This activity was conducted from the 30th December 2024 - 03rd January 2025",,,published,2025-01-03 03:52:56,2025-01-03 03:52:49,2025-01-03 03:56:52,NULL,"{""id"": 10, ""code"": ""DTE01""}","[{""id"": 1314, ""label"": ""2025 Nursery 2 Eric Carle""}]",NULL,[],[]
288787,album,Weekly Highlight (Exploring balls during playground time.),December Week 5,,,published,2025-01-03 04:47:44,2025-01-03 04:47:29,2025-01-03 04:50:35,NULL,"{""id"": 20, ""code"": ""TMJ""}","[{""id"": 1397, ""label"": ""2025 PG Campbell""}]",NULL,[],[]
288788,album,Let's Make A Party Hat!,"To usher in the new year, the little ones attempted their own party hats with crepe papers. Firstly, choosing the colour of their choice, then spraying water on it to transfer the dye onto the paper plate, and lastly, removing the crepe papers. As we expanded their exposure to the different mediums and techniques in art, it helped to foster their interest in art.",,,published,2025-01-03 04:50:35,2025-01-03 04:50:15,2025-01-03 04:50:35,NULL,"{""id"": 16, ""code"": ""MBS""}","[{""id"": 1380, ""label"": ""2025 Nursery 1 Courage""}]",NULL,[],[]
288790,album,K2 Potter's Weekly Photos - January 2nd to January 3rd,Here are some snaps of the little ones this week!,,,published,2025-01-03 04:56:51,2025-01-03 04:56:29,2025-01-03 04:56:51,NULL,"{""id"": 20, ""code"": ""TMJ""}","[{""id"": 1432, ""label"": ""2025 K2 Potter""}]",NULL,[],[]
288792,album,Let's Jump and Bear Crawl!,"This week, the children fostered gross motor development through a series of actions with the use of the agility ladder. They attempted to jump forward with two feet and bear crawl (hands-feet crawl).",,,published,2025-01-03 04:58:22,2025-01-03 04:57:49,2025-01-03 04:58:21,NULL,"{""id"": 16, ""code"": ""MBS""}","[{""id"": 1380, ""label"": ""2025 Nursery 1 Courage""}]",NULL,[],[]
288797,album,Activities of the week!,December Week 5,,,published,2025-01-03 05:04:01,2025-01-03 05:03:38,2025-01-03 05:04:00,NULL,"{""id"": 20, ""code"": ""TMJ""}","[{""id"": 1397, ""label"": ""2025 PG Campbell""}]",NULL,[],[]
288798,album,Matching Cutlery Set,"The little ones matched the cutlery set according to two attributes (colours & objects). As they do so, they learnt to discriminate the differences and likeness to foster understanding of grouping and classification (basic numeracy concepts).",,,published,2025-01-03 05:06:07,2025-01-03 05:05:50,2025-01-03 05:06:06,NULL,"{""id"": 16, ""code"": ""MBS""}","[{""id"": 1380, ""label"": ""2025 Nursery 1 Courage""}]",NULL,[],[]
288799,album,十二月第五周精彩活动,跟着小脚印走一走呀！,,,published,2025-01-03 05:08:20,2025-01-03 05:07:37,2025-01-03 05:08:19,NULL,"{""id"": 20, ""code"": ""TMJ""}","[{""id"": 1397, ""label"": ""2025 PG Campbell""}]",NULL,[],[]
288801,album,12月 第五周：彩色万花筒,"活动目标：
发展手眼协调能力，如：能用五指抓物品

活动过程：
老师准备了剪裁成不同形状的彩色纸片和厕纸筒提供幼儿探索，在探索后鼓励小朋友尝试将厕纸筒放入放有白胶的盘子中滚动，最后再将沾有白胶的纸筒放入另一个装有彩色纸片的盘子中，彩色万花筒就做好了，通过活动促进幼儿认识不同的形状并增加美术体验。",,,published,2025-01-03 05:12:51,2025-01-03 05:10:30,2025-01-16 07:39:59,NULL,"{""id"": 10, ""code"": ""DTE01""}","[{""id"": 1310, ""label"": ""2025 Infant Mozart""}]",NULL,[],[]
288804,album,2025年开学啦！,"2025年的第一个上学日，我们一起在拍照墙前留下纪念照，真是美好的回忆呢！

快来看看小朋友的照片吧！",,,published,2025-01-03 05:14:49,2025-01-03 05:12:53,2025-01-03 05:26:33,NULL,"{""id"": 10, ""code"": ""DTE01""}","[{""id"": 1310, ""label"": ""2025 Infant Mozart""}]",NULL,[],[]
288809,album,Weekly Album: Transition Week 5 ,Here are the photographs taken this week. ,,,published,2025-01-03 05:42:58,2025-01-03 05:39:00,2025-01-03 05:42:58,NULL,"{""id"": 20, ""code"": ""TMJ""}","[{""id"": 1371, ""label"": ""2025 N2 Donaldson""}]",NULL,[],[]
288811,album,一月精彩相册（一）,"毛笔字--新年“福”“春”
图书馆借书",,,published,2025-01-03 05:43:51,2025-01-03 05:43:05,2025-01-03 05:43:51,NULL,"{""id"": 20, ""code"": ""TMJ""}","[{""id"": 1432, ""label"": ""2025 K2 Potter""}]",NULL,[],[]
288826,album,十二月 第五周,12月30日-1月3日,,,published,2025-01-03 06:22:03,2025-01-03 06:17:48,2025-01-03 06:22:02,NULL,"{""id"": 20, ""code"": ""TMJ""}","[{""id"": 1206, ""label"": ""2024 K1 Robinson""}]",NULL,[],[]
